id;name;year_minus_1900;mil_1_civ_2
1;Madero, Francisco;11;2
2;Carranza, Venustiano;13;1
3;Obregon, Alvaro;20;1
4;Calles, Plutarco E.;24;1
5;Aguilar, Candido;18;1
6;Trevino, Jacinto B.;10;1
7;Portes Gil, Emilio;28;2
8;Aleman Gonzalez, Miguel;27;1
9;Jara, Heriberto;41;1
10;Cardenas, Lazaro;34;1
11;Avila Camacho, Manuel;40;1
12;Aleman Valdes, Miguel;46;1
13;Beteta, Ignacio;40;1
14;Beteta, Ramon;45;2
15;Beteta, Mario Ramon;70;2
16;Sanchez Taboada, Rodolfo;46;1
17;Carvajal, Angel;51;2
18;Ruiz Cortines, Adolfo;52;2
19;Lopez Mateos, Adolfo;58;2
20;Margain, Hugo B.;65;2
21;Gonzalez Blanco, Salomon;53;2
22;Serra Rojas, Andres;46;2
23;Carrillo Flores, Antonio;52;2
24;Ruiz Galindo, Antonio;46;2
25;Diaz Ordaz, Gustavo;65;2
26;Echeverria Alvarez, Luis;70;2
27;Bustamante, Eduardo;46;2
28;Ortiz Mena, Antonio;52;2
29;Lopez Portillo, Jose;76;2
30;Loyo, Gilberto;46;2
31;Salinas Lozano, Raul;56;2
32;De la Madrid, Miguel;82;2
33;Salinas de Gortari, Carlos;88;2
34;Aleman Velasco, Miguel;91;2
35;Cardenas, Cuauhtemoc;76;2
