"","Id","Label"
"1","Paul Teller","Paul Teller"
"2","Donald J. Trump","Donald J. Trump"
"3","David S. Cordish","David S. Cordish"
"4","Reed S. Cordish","Reed S. Cordish"
"5","Cui Tiankai","Cui Tiankai"
"6","Jared Kushner","Jared Kushner"
"7","Hope Hicks","Hope Hicks"
"8","Andrew D. Koenig","Andrew D. Koenig"
"9","Joseph Lai","Joseph Lai"
"10","Noel Francisco","Noel Francisco"
"11","Charles G. Koch","Charles G. Koch"
"12","William I. Koch","William I. Koch"
"13","Marc Short","Marc Short"
"14","David H. Koch","David H. Koch"
"15","Nikki Haley","Nikki Haley"
"16","John Destefano","John Destefano"
"17","Chloe Murdoch","Chloe Murdoch"
"18","Ivanka Trump","Ivanka Trump"
"19","Rupert Murdoch","Rupert Murdoch"
"20","Wendi Deng Murdoch","Wendi Deng Murdoch"
"21","Scott Gast","Scott Gast"
"22","Brad Parscale","Brad Parscale"
"23","Alexander Nix","Alexander Nix"
"24","Stephen Vaden","Stephen Vaden"
"25","Sonny Perdue","Sonny Perdue"
"26","Carlos Diaz-rosillo","Carlos Diaz-rosillo"
"27","Sheri A. Dillon","Sheri A. Dillon"
"28","Peter Thiel","Peter Thiel"
"29","Keith Schiller","Keith Schiller"
"30","Serhiy Lyovochkin","Serhiy Lyovochkin"
"31","Paul Manafort","Paul Manafort"
"32","Maryanne Trump Barry","Maryanne Trump Barry"
"33","Kevin Marino","Kevin Marino"
"34","Gary Cohn","Gary Cohn"
"35","Anthony Scaramucci","Anthony Scaramucci"
"36","Kirill Dmitriev","Kirill Dmitriev"
"37","Robert A. Iger","Robert A. Iger"
"38","Alexander Gray","Alexander Gray"
"39","Rebekah Mercer","Rebekah Mercer"
"40","Robert Mercer","Robert Mercer"
"41","Sylvain Mirochnikoff","Sylvain Mirochnikoff"
"42","Stephen Bannon","Stephen Bannon"
"43","Kellyanne Conway","Kellyanne Conway"
"44","Rudy Giuliani","Rudy Giuliani"
"45","Wilbur Ross","Wilbur Ross"
"46","Ken Kurson","Ken Kurson"
"47","Alan Hammer","Alan Hammer"
"48","Charles Kushner","Charles Kushner"
"49","Mary T. Barra","Mary T. Barra"
"50","Grace Murdoch","Grace Murdoch"
"51","Sally Priebus","Sally Priebus"
"52","Reince Priebus","Reince Priebus"
"53","Scott Walker","Scott Walker"
"54","Andrew Bremberg","Andrew Bremberg"
"55","Julian Assange","Julian Assange"
"56","Roger J. Stone, Jr.","Roger J. Stone, Jr."
"57","Albert Ross Sr.","Albert Ross Sr."
"58","Omarosé Onee Manigault","Omarosé Onee Manigault"
"59","Sebastian Gorka","Sebastian Gorka"
"60","Richard Marvin ""dick"" Devos Jr.","Richard Marvin ""dick"" Devos Jr."
"61","Betsy Devos","Betsy Devos"
"62","Mike Pence","Mike Pence"
"63","Marc Lotter","Marc Lotter"
"64","Jarrod P. Agen","Jarrod P. Agen"
"65","Josh Pitcock","Josh Pitcock"
"66","Marty Obst","Marty Obst"
"67","Sarah Makin","Sarah Makin"
"68","Nick Ayers","Nick Ayers"
"69","Ryan Jarmula","Ryan Jarmula"
"70","Russ Vought","Russ Vought"
"71","Thomas E. Wheeler","Thomas E. Wheeler"
"72","Jen Pavlik","Jen Pavlik"
"73","John Gray","John Gray"
"74","Strauss Zelnick","Strauss Zelnick"
"75","Linda Bean","Linda Bean"
"76","Steven Mnuchin","Steven Mnuchin"
"77","Edward Lampert","Edward Lampert"
"78","George Soros","George Soros"
"79","Benjamin Netanyahu","Benjamin Netanyahu"
"80","Richard Lefrak","Richard Lefrak"
"81","Stephen Munisteri","Stephen Munisteri"
"82","James Schultz","James Schultz"
"83","Gerrit Lansing","Gerrit Lansing"
"84","Eric Trump","Eric Trump"
"85","Donald Trump Jr.","Donald Trump Jr."
"86","Felipe Yaryura","Felipe Yaryura"
"87","Cindy Simms","Cindy Simms"
"88","Richard Goettlich","Richard Goettlich"
"89","Don Mcgahn","Don Mcgahn"
"90","James Burnham","James Burnham"
"91","Blake Delaplane","Blake Delaplane"
"92","Shannon Mcgahn","Shannon Mcgahn"
"93","Annie Donaldson","Annie Donaldson"
"94","Greg Katsas","Greg Katsas"
"95","David Morrell","David Morrell"
"96","Aaron Schock","Aaron Schock"
"97","Andy Puzder","Andy Puzder"
"98","William P. Foley","William P. Foley"
"99","Harold G. Hamm","Harold G. Hamm"
"100","Scott Pruitt","Scott Pruitt"
"101","Jessica Ditto","Jessica Ditto"
"102","Matthew Griswold Bevin","Matthew Griswold Bevin"
"103","Sergey I. Kislyak","Sergey I. Kislyak"
"104","Catherine Bray Griffith","Catherine Bray Griffith"
"105","Wells Griffith","Wells Griffith"
"106","Christine Chao","Christine Chao"
"107","James S.C. Chao","James S.C. Chao"
"108","Elaine Chao","Elaine Chao"
"109","George T. Conway Iii","George T. Conway Iii"
"110","Alex Shnaider","Alex Shnaider"
"111","Erik Prince","Erik Prince"
"112","Jennifer Mercer","Jennifer Mercer"
"113","Julia Hahn","Julia Hahn"
"114","Patrick Caddell","Patrick Caddell"
"115","Angela Chao","Angela Chao"
"116","Walter J. ""jay"" Clayton Iii","Walter J. ""jay"" Clayton Iii"
"117","Roger Khafif","Roger Khafif"
"118","Paul Winfree","Paul Winfree"
"119","Yury Zaytsev","Yury Zaytsev"
"120","Sergei Millian","Sergei Millian"
"121","Jack Weisselberg","Jack Weisselberg"
"122","Allen Weisselberg","Allen Weisselberg"
"123","Xi Jinping","Xi Jinping"
"124","Terry Branstad","Terry Branstad"
"125","Boris Epshteyn","Boris Epshteyn"
"126","John Gore","John Gore"
"127","Jeff Sessions","Jeff Sessions"
"128","Bethany Scully","Bethany Scully"
"129","Ike Perlmutter","Ike Perlmutter"
"130","Esther Kushner","Esther Kushner"
"131","Seryl Kushner","Seryl Kushner"
"132","Nicole Kushner Meyer","Nicole Kushner Meyer"
"133","Joshua Kushner","Joshua Kushner"
"134","Jim Mcgreevey","Jim Mcgreevey"
"135","Murray Kushner","Murray Kushner"
"136","Dara Orbach","Dara Orbach"
"137","Bob Dole","Bob Dole"
"138","Robert Lighthizer","Robert Lighthizer"
"139","Steven Roth","Steven Roth"
"140","Recep Tayyip Erdogan","Recep Tayyip Erdogan"
"141","Ben Carson","Ben Carson"
"142","Barry Bennett","Barry Bennett"
"143","Dmytro Firtash","Dmytro Firtash"
"144","Pam Mulvaney","Pam Mulvaney"
"145","Mick Mulvaney","Mick Mulvaney"
"146","George Gigicos","George Gigicos"
"147","Mitch Mcconnell","Mitch Mcconnell"
"148","W.E.“ed” Bosarge","W.E.“ed” Bosarge"
"149","H. B. Hicks","H. B. Hicks"
"150","Madeleine Westerhout","Madeleine Westerhout"
"151","Rhona Graff Riccio","Rhona Graff Riccio"
"152","Sean Cairncross","Sean Cairncross"
"153","Joseph Hagin","Joseph Hagin"
"154","Stephen A. Feinberg","Stephen A. Feinberg"
"155","Tom Price","Tom Price"
"156","Lucius Joseph Riccio","Lucius Joseph Riccio"
"157","Bernard R. Diamond","Bernard R. Diamond"
"158","Joseph Meyer","Joseph Meyer"
"159","Rick Perry","Rick Perry"
"160","Anita Thigpen Perry","Anita Thigpen Perry"
"161","Peter Holt","Peter Holt"
"162","Justin Clark","Justin Clark"
"163","Lindsay Walters","Lindsay Walters"
"164","Nicolas Sarkozy","Nicolas Sarkozy"
"165","Thomas J. Barrack Jr.","Thomas J. Barrack Jr."
"166","Vince Haley","Vince Haley"
"167","David M. Friedman","David M. Friedman"
"168","James Mattis","James Mattis"
"169","Ross Worthington","Ross Worthington"
"170","Arthur G. Cohen","Arthur G. Cohen"
"171","Robert Kraft","Robert Kraft"
"172","Kalpesh Mehta","Kalpesh Mehta"
"173","Aydin Dogan","Aydin Dogan"
"174","Mehmet Ali Yalcindag","Mehmet Ali Yalcindag"
"175","Peter Navarro","Peter Navarro"
"176","Kathleen Troia Mcfarland","Kathleen Troia Mcfarland"
"177","Miles Berger","Miles Berger"
"178","Michael D. Cohen","Michael D. Cohen"
"179","Ginni Rometty","Ginni Rometty"
"180","Stephanie Grisham","Stephanie Grisham"
"181","Vladimir Putin","Vladimir Putin"
"182","Lev Leviev","Lev Leviev"
"183","Martin Sorrell","Martin Sorrell"
"184","Sean Spicer","Sean Spicer"
"185","Mangal Prabhat Lodha","Mangal Prabhat Lodha"
"186","Asher Abehsera","Asher Abehsera"
"187","Joseph Kellogg","Joseph Kellogg"
"188","Dan Scavino","Dan Scavino"
"189","Jeremy Katz","Jeremy Katz"
"190","Sergey Kislyak","Sergey Kislyak"
"191","Michael Flynn","Michael Flynn"
"192","Rex Tillerson","Rex Tillerson"
"193","Igor Sechin","Igor Sechin"
"194","Alexander Novak","Alexander Novak"
"195","Aras Agalarov","Aras Agalarov"
"196","Emin Agalarov","Emin Agalarov"
"197","Christine Ciccone","Christine Ciccone"
"198","Newt Gingrich","Newt Gingrich"
"199","Carter Page","Carter Page"
"200","Rick Snyder","Rick Snyder"
"201","Carl C. Icahn","Carl C. Icahn"
"202","Elena Gorlova","Elena Gorlova"
"203","Chris Christie","Chris Christie"
"204","Bill Mcginley","Bill Mcginley"
"205","Jason D. Meister","Jason D. Meister"
"206","Timothy Pataki","Timothy Pataki"
"207","Rick Dearborn","Rick Dearborn"
"208","Ben Howard","Ben Howard"
"209","Raj Shah","Raj Shah"
"210","Jamie Dimon","Jamie Dimon"
"211","Uttam Dhillon","Uttam Dhillon"
"212","Thomas Pyle","Thomas Pyle"
"213","John Eisenberg","John Eisenberg"
"214","Michael J. Ellis","Michael J. Ellis"
"215","Brian Burns","Brian Burns"
"216","Edwin Meese","Edwin Meese"
"217","Andeliz Castillo","Andeliz Castillo"
"218","Sam Nunberg","Sam Nunberg"
"219","Jennifer Korn","Jennifer Korn"
"220","Michael Pompeo","Michael Pompeo"
"221","Corey Lewandowski","Corey Lewandowski"
"222","Tom Bossert","Tom Bossert"
"223","Curtis Dubay","Curtis Dubay"
"224","Dina Powell","Dina Powell"
"225","John F. Kelly","John F. Kelly"
"226","Linda Mcmahon","Linda Mcmahon"
"227","Edwin Feulner","Edwin Feulner"
"228","Christopher Ruddy","Christopher Ruddy"
"229","Elon Musk","Elon Musk"
"230","Phil Ruffin","Phil Ruffin"
"231","Ashley Marquis","Ashley Marquis"
"232","Joyce Meyer","Joyce Meyer"
"233","Travis Kalanick","Travis Kalanick"
"234","Michael Fascitelli","Michael Fascitelli"
"235","Sam Clovis","Sam Clovis"
"236","Prince Alwaleed Bin Talalthe","Prince Alwaleed Bin Talalthe"
"237","Alexander Acosta","Alexander Acosta"
"238","Ryan Zinke","Ryan Zinke"
"239","Stephen Miller","Stephen Miller"
"240","Melania Trump","Melania Trump"
"241","Stephen B. Meister","Stephen B. Meister"
"242","Kathryn Talento","Kathryn Talento"
"243","Indra Nooyi","Indra Nooyi"
"244","Marc E. Kasowitz","Marc E. Kasowitz"
"245","Cliff Sims","Cliff Sims"
"246","Shahira Knight","Shahira Knight"
"247","Jason D. Greenblatt","Jason D. Greenblatt"
"248","Alexander Angelson","Alexander Angelson"
"249","Helen Ferre","Helen Ferre"
"250","John Mcentee","John Mcentee"
"251","Oleg Miserva","Oleg Miserva"
"252","Dan Coats","Dan Coats"
"253","Mike Baselice","Mike Baselice"
"254","Victor Pinchuk","Victor Pinchuk"
"255","Ado Machida","Ado Machida"
"256","Eric Ueland","Eric Ueland"
"257","Ajit Pai","Ajit Pai"
"258","Bill Stepien","Bill Stepien"
"259","Steven N. Cheung","Steven N. Cheung"
"260","Robert Goad","Robert Goad"
"261","Sean Hannity","Sean Hannity"
"262","Brian Baudreau","Brian Baudreau"
"263","James Sherk","James Sherk"
"264","David Shulkin","David Shulkin"
"265","Stephen A. Schwarzman","Stephen A. Schwarzman"
"266","George E. Norcross Iii","George E. Norcross Iii"
"267","Joe Hagin","Joe Hagin"
"268","James Uthmeier","James Uthmeier"
"269","Michelle Bachmann","Michelle Bachmann"
"270","John Kyl","John Kyl"
"271","Yousef Al-otaiba","Yousef Al-otaiba"
"272","David Wildstein","David Wildstein"
"273","Avrahm Berkowitz","Avrahm Berkowitz"
"274","Susan Pompeo","Susan Pompeo"
"275","Viktor Tkachuk","Viktor Tkachuk"
"276","Nigel Farage","Nigel Farage"
"277","Tucker Carlson","Tucker Carlson"
"278","Justin Weniger","Justin Weniger"
"279","Eric Holcomb","Eric Holcomb"
"280","Michael Murray","Michael Murray"
"281","Andriy Zaika","Andriy Zaika"
"282","Russell Flicker","Russell Flicker"
"283","Bonnie Haydon","Bonnie Haydon"
"284","Vanessa Trump","Vanessa Trump"
"285","Abdul Rahman Al-assir","Abdul Rahman Al-assir"
"286","Mallory Hunter","Mallory Hunter"
"287","Katie Walsh","Katie Walsh"
"288","Caroline May","Caroline May"
"289","David Horowitz","David Horowitz"
"290","Garrett Murch","Garrett Murch"
"291","Margaret Chin","Margaret Chin"
"292","Stephanie Winston Wolkoff","Stephanie Winston Wolkoff"
"293","Viktor F. Yanukovych","Viktor F. Yanukovych"
"294","Rinat Akhmetov","Rinat Akhmetov"
"295","Dmitry Firtash","Dmitry Firtash"
"296","Paulo Figueiredo Filho","Paulo Figueiredo Filho"
"297","Mike Ferguson","Mike Ferguson"
"298","Lindsey Reynolds","Lindsey Reynolds"
"299","Ryan Doherty","Ryan Doherty"
"300","Avram Lebor","Avram Lebor"
"301","Sam Brownback","Sam Brownback"
"302","Richard Devos","Richard Devos"
"303","Rob Speyer","Rob Speyer"
